userId,courseId,title,proficiency_level,updated_year,updated_month,updated_day
19,1,Java Programming Essentials,Beginner,2023,4,11
19,1,Java Programming Essentials,Beginner,2023,4,14
19,2,Mastering Java Swing for Desktop Applications,Beginner,2023,4,11
19,3,SQL for Data Management,Advanced,2024,5,10
19,8,Building Web Applications with Django,Beginner,2024,11,7
19,9,HTML & CSS: The Complete Guide,Intermediate,2023,3,25
19,10,JavaScript Fundamentals,Intermediate,2024,7,14
19,12,Next.js: Server-Side Rendering Made Easy,Intermediate,2023,4,5
19,13,TypeScript for Large Applications,Intermediate,2023,3,22
19,14,Python for Data Analysis,Beginner,2023,4,8
19,15,DevOps Fundamentals: Continuous Integration & Delivery,Intermediate,2023,4,20
19,17,Data Analysis Techniques for Business Insights,Beginner,2023,4,2
19,19,Snowflake Essentials: Data Warehousing,Intermediate,2023,4,12
19,25,IT Project Management Fundamentals,Advanced,2023,3,29
19,26,Agile Methodologies for HR and IT,Advanced,2023,12,27
20,8,Building Web Applications with Django,Beginner,2024,10,5
20,9,HTML & CSS: The Complete Guide,Intermediate,2024,8,29
20,11,Node.js for Scalable Network Applications,Advanced,2024,9,4
20,20,Azure Cloud Fundamentals,Beginner,2024,9,5
20,20,Azure Cloud Fundamentals,Beginner,2024,9,3
21,7,Go: A Comprehensive Guide,Advanced,2022,8,24
21,9,HTML & CSS: The Complete Guide,Intermediate,2020,4,1
21,9,HTML & CSS: The Complete Guide,Intermediate,2020,3,24
21,11,Node.js for Scalable Network Applications,Advanced,2022,11,27
21,11,Node.js for Scalable Network Applications,Advanced,2022,12,21
21,16,Machine Learning with Python,Intermediate,2020,6,24
21,19,Snowflake Essentials: Data Warehousing,Intermediate,2022,10,1
21,20,Azure Cloud Fundamentals,Beginner,2021,11,13
21,21,Power BI for Data Visualization,Advanced,2021,3,21
22,1,Java Programming Essentials,Beginner,2020,4,18
22,2,Mastering Java Swing for Desktop Applications,Beginner,2020,11,2
22,3,SQL for Data Management,Advanced,2024,5,22
22,7,Go: A Comprehensive Guide,Advanced,2022,8,24
22,13,TypeScript for Large Applications,Intermediate,2020,7,2
22,16,Machine Learning with Python,Intermediate,2020,6,16
22,18,DBT: Transforming Data in the Warehouse,Beginner,2024,4,24
22,26,Agile Methodologies for HR and IT,Advanced,2023,11,23
22,28,Effective Communication in HR,Advanced,2024,1,8
23,3,SQL for Data Management,Advanced,2024,5,21
23,9,HTML & CSS: The Complete Guide,Intermediate,2023,10,3
23,11,Node.js for Scalable Network Applications,Advanced,2023,9,17
23,17,Data Analysis Techniques for Business Insights,Beginner,2023,9,27
23,17,Data Analysis Techniques for Business Insights,Beginner,2023,9,29
23,19,Snowflake Essentials: Data Warehousing,Intermediate,2023,10,8
23,28,Effective Communication in HR,Advanced,2024,1,16
24,3,SQL for Data Management,Advanced,2024,5,10
24,3,SQL for Data Management,Advanced,2024,5,18
24,7,Go: A Comprehensive Guide,Advanced,2023,12,26
24,9,HTML & CSS: The Complete Guide,Intermediate,2023,12,20
24,12,Next.js: Server-Side Rendering Made Easy,Intermediate,2023,12,27
24,13,TypeScript for Large Applications,Intermediate,2023,12,9
24,18,DBT: Transforming Data in the Warehouse,Beginner,2024,5,22
24,21,Power BI for Data Visualization,Advanced,2024,1,7
25,7,Go: A Comprehensive Guide,Advanced,2022,8,28
25,11,Node.js for Scalable Network Applications,Advanced,2022,12,7
25,13,TypeScript for Large Applications,Intermediate,2020,7,2
25,18,DBT: Transforming Data in the Warehouse,Beginner,2024,6,5
25,19,Snowflake Essentials: Data Warehousing,Intermediate,2022,10,1
25,21,Power BI for Data Visualization,Advanced,2021,5,11
25,25,IT Project Management Fundamentals,Advanced,2023,1,23
25,28,Effective Communication in HR,Advanced,2024,1,22
26,2,Mastering Java Swing for Desktop Applications,Beginner,2022,5,26
26,3,SQL for Data Management,Advanced,2024,7,5
26,9,HTML & CSS: The Complete Guide,Intermediate,2022,6,4
26,13,TypeScript for Large Applications,Intermediate,2022,5,24
26,14,Python for Data Analysis,Beginner,2022,5,26
26,15,DevOps Fundamentals: Continuous Integration & Delivery,Intermediate,2022,5,28
26,16,Machine Learning with Python,Intermediate,2022,6,20
26,17,Data Analysis Techniques for Business Insights,Beginner,2022,5,23
26,22,Data Structures and Algorithms in Java,Beginner,2022,7,28
26,24,HR Analytics: Leveraging Data for HR Decisions,Beginner,2023,7,12
27,5,Advanced C# Techniques,Advanced,2021,3,14
27,8,Building Web Applications with Django,Beginner,2024,10,10
27,9,HTML & CSS: The Complete Guide,Intermediate,2020,3,16
27,9,HTML & CSS: The Complete Guide,Intermediate,2020,3,18
27,13,TypeScript for Large Applications,Intermediate,2020,7,18
27,17,Data Analysis Techniques for Business Insights,Beginner,2020,3,22
27,22,Data Structures and Algorithms in Java,Beginner,2022,7,28
27,23,Cloud Security: Best Practices for IT,Beginner,2023,10,10
27,24,HR Analytics: Leveraging Data for HR Decisions,Beginner,2023,7,12
27,28,Effective Communication in HR,Advanced,2024,1,2
27,28,Effective Communication in HR,Advanced,2024,1,6
28,1,Java Programming Essentials,Beginner,2020,4,26
28,8,Building Web Applications with Django,Beginner,2024,9,26
28,9,HTML & CSS: The Complete Guide,Intermediate,2020,3,16
28,16,Machine Learning with Python,Intermediate,2020,5,27
28,16,Machine Learning with Python,Intermediate,2020,6,6
28,19,Snowflake Essentials: Data Warehousing,Intermediate,2022,10,1
28,22,Data Structures and Algorithms in Java,Beginner,2022,7,28
28,23,Cloud Security: Best Practices for IT,Beginner,2023,9,16
29,11,Node.js for Scalable Network Applications,Advanced,2023,11,17
29,12,Next.js: Server-Side Rendering Made Easy,Intermediate,2023,11,19
29,12,Next.js: Server-Side Rendering Made Easy,Intermediate,2023,11,17
29,14,Python for Data Analysis,Beginner,2023,11,23
29,16,Machine Learning with Python,Intermediate,2023,11,14
29,16,Machine Learning with Python,Intermediate,2023,11,16
29,18,DBT: Transforming Data in the Warehouse,Beginner,2024,5,13
29,28,Effective Communication in HR,Advanced,2024,2,7
30,1,Java Programming Essentials,Beginner,2020,4,24
30,7,Go: A Comprehensive Guide,Advanced,2022,8,28
30,12,Next.js: Server-Side Rendering Made Easy,Intermediate,2021,12,8
30,15,DevOps Fundamentals: Continuous Integration & Delivery,Intermediate,2022,1,7
30,19,Snowflake Essentials: Data Warehousing,Intermediate,2022,10,7
30,24,HR Analytics: Leveraging Data for HR Decisions,Beginner,2023,7,12
30,28,Effective Communication in HR,Advanced,2024,1,4
31,9,HTML & CSS: The Complete Guide,Intermediate,2020,6,26
31,19,Snowflake Essentials: Data Warehousing,Intermediate,2022,10,1
31,21,Power BI for Data Visualization,Advanced,2021,3,30
31,23,Cloud Security: Best Practices for IT,Beginner,2023,9,16
31,28,Effective Communication in HR,Advanced,2024,1,10
31,28,Effective Communication in HR,Advanced,2024,2,10
31,29,Talent Management Strategies in the Digital Age,Beginner,2022,9,12
32,10,JavaScript Fundamentals,Intermediate,2024,7,24
32,12,Next.js: Server-Side Rendering Made Easy,Intermediate,2021,12,8
32,24,HR Analytics: Leveraging Data for HR Decisions,Beginner,2023,7,12
32,27,Cybersecurity Essentials for IT Professionals,Advanced,2021,1,11
33,1,Java Programming Essentials,Beginner,2020,4,26
33,1,Java Programming Essentials,Beginner,2020,5,15
33,5,Advanced C# Techniques,Advanced,2021,4,17
33,9,HTML & CSS: The Complete Guide,Intermediate,2020,5,31
33,10,JavaScript Fundamentals,Intermediate,2024,7,10
33,24,HR Analytics: Leveraging Data for HR Decisions,Beginner,2023,7,12
33,26,Agile Methodologies for HR and IT,Advanced,2023,11,23
33,28,Effective Communication in HR,Advanced,2024,1,2
33,29,Talent Management Strategies in the Digital Age,Beginner,2022,9,9
34,1,Java Programming Essentials,Beginner,2024,2,17
34,1,Java Programming Essentials,Beginner,2024,1,24
34,5,Advanced C# Techniques,Advanced,2024,1,29
34,13,TypeScript for Large Applications,Intermediate,2024,1,29
34,13,TypeScript for Large Applications,Intermediate,2024,2,1
34,15,DevOps Fundamentals: Continuous Integration & Delivery,Intermediate,2024,1,19
34,19,Snowflake Essentials: Data Warehousing,Intermediate,2024,2,11
34,22,Data Structures and Algorithms in Java,Beginner,2024,2,18
34,22,Data Structures and Algorithms in Java,Beginner,2024,2,10
34,24,HR Analytics: Leveraging Data for HR Decisions,Beginner,2024,1,20
34,24,HR Analytics: Leveraging Data for HR Decisions,Beginner,2024,1,26
34,24,HR Analytics: Leveraging Data for HR Decisions,Beginner,2024,1,30
34,28,Effective Communication in HR,Advanced,2024,1,21
35,2,Mastering Java Swing for Desktop Applications,Beginner,2020,10,10
35,3,SQL for Data Management,Advanced,2024,5,10
35,3,SQL for Data Management,Advanced,2024,5,26
35,3,SQL for Data Management,Advanced,2024,5,16
35,3,SQL for Data Management,Advanced,2024,6,23
35,7,Go: A Comprehensive Guide,Advanced,2022,9,11
35,9,HTML & CSS: The Complete Guide,Intermediate,2020,8,2
35,16,Machine Learning with Python,Intermediate,2020,8,2
35,16,Machine Learning with Python,Intermediate,2020,7,29
35,17,Data Analysis Techniques for Business Insights,Beginner,2020,8,1
35,24,HR Analytics: Leveraging Data for HR Decisions,Beginner,2023,7,12
35,27,Cybersecurity Essentials for IT Professionals,Advanced,2021,1,11
36,17,Data Analysis Techniques for Business Insights,Beginner,2023,9,13
36,18,DBT: Transforming Data in the Warehouse,Beginner,2024,4,24
36,20,Azure Cloud Fundamentals,Beginner,2023,9,18
36,24,HR Analytics: Leveraging Data for HR Decisions,Beginner,2023,10,9
37,8,Building Web Applications with Django,Beginner,2024,10,7
37,9,HTML & CSS: The Complete Guide,Intermediate,2020,3,16
37,9,HTML & CSS: The Complete Guide,Intermediate,2020,4,3
37,10,JavaScript Fundamentals,Intermediate,2024,7,10
37,12,Next.js: Server-Side Rendering Made Easy,Intermediate,2021,12,10
37,13,TypeScript for Large Applications,Intermediate,2020,7,2
37,14,Python for Data Analysis,Beginner,2022,4,14
37,16,Machine Learning with Python,Intermediate,2020,7,2
37,18,DBT: Transforming Data in the Warehouse,Beginner,2024,4,25
37,21,Power BI for Data Visualization,Advanced,2021,3,21
38,1,Java Programming Essentials,Beginner,2021,4,19
38,3,SQL for Data Management,Advanced,2024,5,10
38,3,SQL for Data Management,Advanced,2024,5,11
38,5,Advanced C# Techniques,Advanced,2021,4,24
38,7,Go: A Comprehensive Guide,Advanced,2022,9,2
38,8,Building Web Applications with Django,Beginner,2024,9,29
38,16,Machine Learning with Python,Intermediate,2021,4,18
38,16,Machine Learning with Python,Intermediate,2021,4,4
38,19,Snowflake Essentials: Data Warehousing,Intermediate,2022,11,30
38,20,Azure Cloud Fundamentals,Beginner,2021,11,2
38,22,Data Structures and Algorithms in Java,Beginner,2022,8,10
38,22,Data Structures and Algorithms in Java,Beginner,2022,8,19
38,23,Cloud Security: Best Practices for IT,Beginner,2023,9,24
38,24,HR Analytics: Leveraging Data for HR Decisions,Beginner,2023,7,12
38,29,Talent Management Strategies in the Digital Age,Beginner,2022,8,31
39,3,SQL for Data Management,Advanced,2024,5,25
39,5,Advanced C# Techniques,Advanced,2021,3,21
39,13,TypeScript for Large Applications,Intermediate,2021,3,7
39,20,Azure Cloud Fundamentals,Beginner,2021,11,3
39,23,Cloud Security: Best Practices for IT,Beginner,2023,9,16
39,23,Cloud Security: Best Practices for IT,Beginner,2023,9,22
39,30,Building a Diverse Workplace Culture,Intermediate,2021,3,4
40,1,Java Programming Essentials,Beginner,2022,3,2
40,1,Java Programming Essentials,Beginner,2022,2,16
40,4,C Programming for Beginners,Beginner,2022,2,15
40,4,C Programming for Beginners,Beginner,2022,2,20
40,9,HTML & CSS: The Complete Guide,Intermediate,2022,3,7
40,12,Next.js: Server-Side Rendering Made Easy,Intermediate,2022,2,13
40,13,TypeScript for Large Applications,Intermediate,2022,2,6
40,20,Azure Cloud Fundamentals,Beginner,2022,3,2
40,20,Azure Cloud Fundamentals,Beginner,2022,3,4
40,24,HR Analytics: Leveraging Data for HR Decisions,Beginner,2023,7,24
40,25,IT Project Management Fundamentals,Advanced,2023,1,27
40,27,Cybersecurity Essentials for IT Professionals,Advanced,2022,2,23
41,1,Java Programming Essentials,Beginner,2020,4,18
41,1,Java Programming Essentials,Beginner,2020,5,3
41,4,C Programming for Beginners,Beginner,2021,10,7
41,6,C++ for Game Development,Intermediate,2024,1,16
41,7,Go: A Comprehensive Guide,Advanced,2022,8,31
41,11,Node.js for Scalable Network Applications,Advanced,2022,11,27
41,13,TypeScript for Large Applications,Intermediate,2020,7,4
41,15,DevOps Fundamentals: Continuous Integration & Delivery,Intermediate,2021,12,18
41,17,Data Analysis Techniques for Business Insights,Beginner,2020,3,15
41,22,Data Structures and Algorithms in Java,Beginner,2022,8,23
41,24,HR Analytics: Leveraging Data for HR Decisions,Beginner,2023,7,12
41,27,Cybersecurity Essentials for IT Professionals,Advanced,2021,1,11
41,28,Effective Communication in HR,Advanced,2024,1,6
41,28,Effective Communication in HR,Advanced,2024,1,20
42,8,Building Web Applications with Django,Beginner,2024,9,26
42,10,JavaScript Fundamentals,Intermediate,2024,7,12
42,18,DBT: Transforming Data in the Warehouse,Beginner,2024,5,9
42,22,Data Structures and Algorithms in Java,Beginner,2023,3,20
42,25,IT Project Management Fundamentals,Advanced,2023,4,3
42,29,Talent Management Strategies in the Digital Age,Beginner,2023,4,1
43,1,Java Programming Essentials,Beginner,2024,5,23
43,1,Java Programming Essentials,Beginner,2024,6,5
43,5,Advanced C# Techniques,Advanced,2024,6,5
43,9,HTML & CSS: The Complete Guide,Intermediate,2024,5,15
43,10,JavaScript Fundamentals,Intermediate,2024,7,10
43,12,Next.js: Server-Side Rendering Made Easy,Intermediate,2024,6,1
43,16,Machine Learning with Python,Intermediate,2024,6,7
43,19,Snowflake Essentials: Data Warehousing,Intermediate,2024,6,9
43,22,Data Structures and Algorithms in Java,Beginner,2024,6,4
43,23,Cloud Security: Best Practices for IT,Beginner,2024,5,24
43,25,IT Project Management Fundamentals,Advanced,2024,6,9
43,28,Effective Communication in HR,Advanced,2024,6,4
44,3,SQL for Data Management,Advanced,2024,5,10
44,4,C Programming for Beginners,Beginner,2023,1,9
44,5,Advanced C# Techniques,Advanced,2023,2,1
44,6,C++ for Game Development,Intermediate,2024,1,9
44,15,DevOps Fundamentals: Continuous Integration & Delivery,Intermediate,2023,2,1
44,17,Data Analysis Techniques for Business Insights,Beginner,2023,1,21
44,22,Data Structures and Algorithms in Java,Beginner,2023,2,1
44,25,IT Project Management Fundamentals,Advanced,2023,1,23
45,2,Mastering Java Swing for Desktop Applications,Beginner,2020,11,25
45,3,SQL for Data Management,Advanced,2024,5,30
45,9,HTML & CSS: The Complete Guide,Intermediate,2020,12,7
45,11,Node.js for Scalable Network Applications,Advanced,2022,12,3
45,12,Next.js: Server-Side Rendering Made Easy,Intermediate,2022,1,17
45,21,Power BI for Data Visualization,Advanced,2021,3,24
45,22,Data Structures and Algorithms in Java,Beginner,2022,7,28
45,28,Effective Communication in HR,Advanced,2024,1,2
45,28,Effective Communication in HR,Advanced,2024,1,19
46,1,Java Programming Essentials,Beginner,2020,10,9
46,2,Mastering Java Swing for Desktop Applications,Beginner,2020,9,23
46,10,JavaScript Fundamentals,Intermediate,2024,7,30
46,17,Data Analysis Techniques for Business Insights,Beginner,2020,9,23
46,18,DBT: Transforming Data in the Warehouse,Beginner,2024,4,30
46,24,HR Analytics: Leveraging Data for HR Decisions,Beginner,2023,7,12
46,25,IT Project Management Fundamentals,Advanced,2023,2,2
46,27,Cybersecurity Essentials for IT Professionals,Advanced,2021,1,11
46,28,Effective Communication in HR,Advanced,2024,1,2
47,3,SQL for Data Management,Advanced,2024,5,17
47,9,HTML & CSS: The Complete Guide,Intermediate,2022,5,27
47,10,JavaScript Fundamentals,Intermediate,2024,7,17
47,16,Machine Learning with Python,Intermediate,2022,5,28
47,24,HR Analytics: Leveraging Data for HR Decisions,Beginner,2023,7,12
47,24,HR Analytics: Leveraging Data for HR Decisions,Beginner,2023,7,29
47,30,Building a Diverse Workplace Culture,Intermediate,2022,6,1
48,2,Mastering Java Swing for Desktop Applications,Beginner,2020,9,12
48,3,SQL for Data Management,Advanced,2024,5,13
48,4,C Programming for Beginners,Beginner,2021,10,7
48,5,Advanced C# Techniques,Advanced,2021,3,1
48,8,Building Web Applications with Django,Beginner,2024,11,1
48,9,HTML & CSS: The Complete Guide,Intermediate,2020,3,16
48,9,HTML & CSS: The Complete Guide,Intermediate,2020,3,18
48,12,Next.js: Server-Side Rendering Made Easy,Intermediate,2022,1,1
48,13,TypeScript for Large Applications,Intermediate,2020,7,2
48,14,Python for Data Analysis,Beginner,2022,6,17
48,16,Machine Learning with Python,Intermediate,2020,5,27
49,5,Advanced C# Techniques,Advanced,2021,3,28
49,16,Machine Learning with Python,Intermediate,2020,5,27
49,16,Machine Learning with Python,Intermediate,2020,6,3
49,16,Machine Learning with Python,Intermediate,2020,5,30
49,19,Snowflake Essentials: Data Warehousing,Intermediate,2022,10,11
50,1,Java Programming Essentials,Beginner,2020,4,18
50,3,SQL for Data Management,Advanced,2024,7,3
50,5,Advanced C# Techniques,Advanced,2021,2,24
50,10,JavaScript Fundamentals,Intermediate,2024,7,20
50,12,Next.js: Server-Side Rendering Made Easy,Intermediate,2021,12,8
50,13,TypeScript for Large Applications,Intermediate,2020,7,2
50,15,DevOps Fundamentals: Continuous Integration & Delivery,Intermediate,2021,12,18
50,18,DBT: Transforming Data in the Warehouse,Beginner,2024,5,4
50,23,Cloud Security: Best Practices for IT,Beginner,2023,9,16
50,24,HR Analytics: Leveraging Data for HR Decisions,Beginner,2023,7,12
50,29,Talent Management Strategies in the Digital Age,Beginner,2022,8,25
51,9,HTML & CSS: The Complete Guide,Intermediate,2023,6,13
51,15,DevOps Fundamentals: Continuous Integration & Delivery,Intermediate,2023,6,12
51,17,Data Analysis Techniques for Business Insights,Beginner,2023,6,27
51,25,IT Project Management Fundamentals,Advanced,2023,7,6
51,28,Effective Communication in HR,Advanced,2024,2,3
51,29,Talent Management Strategies in the Digital Age,Beginner,2023,7,4
52,5,Advanced C# Techniques,Advanced,2021,2,24
52,8,Building Web Applications with Django,Beginner,2024,9,26
52,9,HTML & CSS: The Complete Guide,Intermediate,2020,3,16
52,13,TypeScript for Large Applications,Intermediate,2020,7,10
52,16,Machine Learning with Python,Intermediate,2020,6,26
52,20,Azure Cloud Fundamentals,Beginner,2021,11,2
52,24,HR Analytics: Leveraging Data for HR Decisions,Beginner,2023,7,15
53,1,Java Programming Essentials,Beginner,2023,1,15
53,5,Advanced C# Techniques,Advanced,2023,1,15
53,8,Building Web Applications with Django,Beginner,2024,10,1
53,12,Next.js: Server-Side Rendering Made Easy,Intermediate,2023,1,24
53,16,Machine Learning with Python,Intermediate,2023,2,6
53,16,Machine Learning with Python,Intermediate,2023,1,30
53,23,Cloud Security: Best Practices for IT,Beginner,2023,9,16
54,1,Java Programming Essentials,Beginner,2024,9,20
54,5,Advanced C# Techniques,Advanced,2024,8,26
54,5,Advanced C# Techniques,Advanced,2024,9,19
54,6,C++ for Game Development,Intermediate,2024,8,29
