id,courseId,userId,chapters_completed,percentage_completed,certificate,updated_day,updated_month,updated_year,progress_category
124,4,5,0,0.0,,7,10,2021,Not Started
125,5,5,0,0.0,,24,2,2021,Not Started
126,6,5,0,0.0,,4,1,2024,Not Started
127,7,5,0,0.0,,24,8,2022,Not Started
128,8,5,0,0.0,,26,9,2024,Not Started
129,9,5,0,0.0,,16,3,2020,Not Started
130,10,5,0,0.0,,10,7,2024,Not Started
131,11,5,0,0.0,,27,11,2022,Not Started
132,12,5,0,0.0,,8,12,2021,Not Started
133,13,5,0,0.0,,2,7,2020,Not Started
134,14,5,0,0.0,,14,4,2022,Not Started
135,15,5,0,0.0,,18,12,2021,Not Started
136,16,5,0,0.0,,27,5,2020,Not Started
137,17,5,0,0.0,,6,3,2020,Not Started
138,18,5,0,0.0,,24,4,2024,Not Started
139,19,5,0,0.0,,1,10,2022,Not Started
140,20,5,0,0.0,,2,11,2021,Not Started
141,21,5,0,0.0,,21,3,2021,Not Started
142,22,5,0,0.0,,28,7,2022,Not Started
143,23,5,0,0.0,,16,9,2023,Not Started
144,24,5,0,0.0,,12,7,2023,Not Started
145,25,5,0,0.0,,23,1,2023,Not Started
146,26,5,0,0.0,,23,11,2023,Not Started
147,27,5,0,0.0,,11,1,2021,Not Started
148,28,5,0,0.0,,2,1,2024,Not Started
149,29,5,0,0.0,,13,8,2022,Not Started
150,30,5,0,0.0,,13,2,2021,Not Started
151,1,6,0,0.0,,18,4,2020,Not Started
152,2,6,0,0.0,,12,9,2020,Not Started
153,3,6,0,0.0,,10,5,2024,Not Started
154,4,6,0,0.0,,7,10,2021,Not Started
155,5,6,0,0.0,,24,2,2021,Not Started
156,6,6,0,0.0,,4,1,2024,Not Started
157,7,6,0,0.0,,24,8,2022,Not Started
158,8,6,0,0.0,,26,9,2024,Not Started
159,9,6,0,0.0,,16,3,2020,Not Started
160,10,6,0,0.0,,10,7,2024,Not Started
161,11,6,0,0.0,,27,11,2022,Not Started
162,12,6,0,0.0,,8,12,2021,Not Started
163,13,6,0,0.0,,2,7,2020,Not Started
164,14,6,0,0.0,,14,4,2022,Not Started
165,15,6,0,0.0,,18,12,2021,Not Started
166,16,6,0,0.0,,27,5,2020,Not Started
167,17,6,0,0.0,,6,3,2020,Not Started
168,18,6,0,0.0,,24,4,2024,Not Started
169,19,6,0,0.0,,1,10,2022,Not Started
170,20,6,0,0.0,,2,11,2021,Not Started
171,21,6,0,0.0,,21,3,2021,Not Started
172,22,6,0,0.0,,28,7,2022,Not Started
173,23,6,0,0.0,,16,9,2023,Not Started
174,24,6,0,0.0,,12,7,2023,Not Started
175,25,6,0,0.0,,23,1,2023,Not Started
176,26,6,0,0.0,,23,11,2023,Not Started
177,27,6,0,0.0,,11,1,2021,Not Started
178,28,6,0,0.0,,2,1,2024,Not Started
179,29,6,0,0.0,,13,8,2022,Not Started
180,30,6,0,0.0,,13,2,2021,Not Started
181,1,7,0,0.0,,18,4,2020,Not Started
182,2,7,0,0.0,,12,9,2020,Not Started
183,3,7,0,0.0,,10,5,2024,Not Started
184,4,7,0,0.0,,7,10,2021,Not Started
185,5,7,0,0.0,,24,2,2021,Not Started
186,6,7,0,0.0,,4,1,2024,Not Started
187,7,7,0,0.0,,24,8,2022,Not Started
188,8,7,0,0.0,,26,9,2024,Not Started
189,9,7,0,0.0,,16,3,2020,Not Started
190,10,7,0,0.0,,10,7,2024,Not Started
191,11,7,0,0.0,,27,11,2022,Not Started
192,12,7,0,0.0,,8,12,2021,Not Started
193,13,7,0,0.0,,2,7,2020,Not Started
194,14,7,0,0.0,,14,4,2022,Not Started
195,15,7,0,0.0,,18,12,2021,Not Started
196,16,7,0,0.0,,27,5,2020,Not Started
197,17,7,0,0.0,,6,3,2020,Not Started
198,18,7,0,0.0,,24,4,2024,Not Started
199,19,7,0,0.0,,1,10,2022,Not Started
200,20,7,0,0.0,,2,11,2021,Not Started
201,21,7,0,0.0,,21,3,2021,Not Started
202,22,7,0,0.0,,28,7,2022,Not Started
203,23,7,0,0.0,,16,9,2023,Not Started
204,24,7,0,0.0,,12,7,2023,Not Started
205,25,7,0,0.0,,23,1,2023,Not Started
206,26,7,0,0.0,,23,11,2023,Not Started
207,27,7,0,0.0,,11,1,2021,Not Started
208,28,7,0,0.0,,2,1,2024,Not Started
209,29,7,0,0.0,,13,8,2022,Not Started
210,30,7,0,0.0,,13,2,2021,Not Started
211,1,8,0,0.0,,18,4,2020,Not Started
212,2,8,0,0.0,,12,9,2020,Not Started
213,3,8,0,0.0,,10,5,2024,Not Started
214,4,8,0,0.0,,7,10,2021,Not Started
215,5,8,0,0.0,,24,2,2021,Not Started
216,6,8,0,0.0,,4,1,2024,Not Started
217,7,8,0,0.0,,24,8,2022,Not Started
218,8,8,0,0.0,,26,9,2024,Not Started
219,9,8,0,0.0,,16,3,2020,Not Started
220,10,8,0,0.0,,10,7,2024,Not Started
221,11,8,0,0.0,,27,11,2022,Not Started
222,12,8,0,0.0,,8,12,2021,Not Started
223,13,8,0,0.0,,2,7,2020,Not Started
224,14,8,0,0.0,,14,4,2022,Not Started
225,15,8,0,0.0,,18,12,2021,Not Started
226,16,8,0,0.0,,27,5,2020,Not Started
227,17,8,0,0.0,,6,3,2020,Not Started
228,18,8,0,0.0,,24,4,2024,Not Started
229,19,8,0,0.0,,1,10,2022,Not Started
230,20,8,0,0.0,,2,11,2021,Not Started
231,21,8,0,0.0,,21,3,2021,Not Started
232,22,8,0,0.0,,28,7,2022,Not Started
233,23,8,0,0.0,,16,9,2023,Not Started
234,24,8,0,0.0,,12,7,2023,Not Started
235,25,8,0,0.0,,23,1,2023,Not Started
236,26,8,0,0.0,,23,11,2023,Not Started
237,27,8,0,0.0,,11,1,2021,Not Started
238,28,8,0,0.0,,2,1,2024,Not Started
239,29,8,0,0.0,,13,8,2022,Not Started
240,30,8,0,0.0,,13,2,2021,Not Started
241,1,9,0,0.0,,18,4,2020,Not Started
242,2,9,0,0.0,,12,9,2020,Not Started
243,3,9,0,0.0,,10,5,2024,Not Started
244,4,9,0,0.0,,7,10,2021,Not Started
245,5,9,0,0.0,,24,2,2021,Not Started
246,6,9,0,0.0,,4,1,2024,Not Started
247,7,9,0,0.0,,24,8,2022,Not Started
248,8,9,0,0.0,,26,9,2024,Not Started
249,9,9,0,0.0,,16,3,2020,Not Started
250,10,9,0,0.0,,10,7,2024,Not Started
251,11,9,0,0.0,,27,11,2022,Not Started
252,12,9,0,0.0,,8,12,2021,Not Started
253,13,9,0,0.0,,2,7,2020,Not Started
254,14,9,0,0.0,,14,4,2022,Not Started
255,15,9,0,0.0,,18,12,2021,Not Started
256,16,9,0,0.0,,27,5,2020,Not Started
257,17,9,0,0.0,,6,3,2020,Not Started
258,18,9,0,0.0,,24,4,2024,Not Started
259,19,9,0,0.0,,1,10,2022,Not Started
260,20,9,0,0.0,,2,11,2021,Not Started
261,21,9,0,0.0,,21,3,2021,Not Started
262,22,9,0,0.0,,28,7,2022,Not Started
263,23,9,0,0.0,,16,9,2023,Not Started
264,24,9,0,0.0,,12,7,2023,Not Started
265,25,9,0,0.0,,23,1,2023,Not Started
266,26,9,0,0.0,,23,11,2023,Not Started
267,27,9,0,0.0,,11,1,2021,Not Started
268,28,9,0,0.0,,2,1,2024,Not Started
269,29,9,0,0.0,,13,8,2022,Not Started
270,30,9,0,0.0,,13,2,2021,Not Started
271,1,10,0,0.0,,18,4,2020,Not Started
272,2,10,0,0.0,,12,9,2020,Not Started
273,3,10,0,0.0,,10,5,2024,Not Started
274,4,10,0,0.0,,7,10,2021,Not Started
275,5,10,0,0.0,,24,2,2021,Not Started
276,6,10,0,0.0,,4,1,2024,Not Started
277,7,10,0,0.0,,24,8,2022,Not Started
278,8,10,0,0.0,,26,9,2024,Not Started
279,9,10,0,0.0,,16,3,2020,Not Started
280,10,10,0,0.0,,10,7,2024,Not Started
281,11,10,0,0.0,,27,11,2022,Not Started
282,12,10,0,0.0,,8,12,2021,Not Started
283,13,10,0,0.0,,2,7,2020,Not Started
284,14,10,0,0.0,,14,4,2022,Not Started
285,15,10,0,0.0,,18,12,2021,Not Started
286,16,10,0,0.0,,27,5,2020,Not Started
287,17,10,0,0.0,,6,3,2020,Not Started
288,18,10,0,0.0,,24,4,2024,Not Started
289,19,10,0,0.0,,1,10,2022,Not Started
290,20,10,0,0.0,,2,11,2021,Not Started
291,21,10,0,0.0,,21,3,2021,Not Started
292,22,10,0,0.0,,28,7,2022,Not Started
293,23,10,0,0.0,,16,9,2023,Not Started
294,24,10,0,0.0,,12,7,2023,Not Started
295,25,10,0,0.0,,23,1,2023,Not Started
296,26,10,0,0.0,,23,11,2023,Not Started
297,27,10,0,0.0,,11,1,2021,Not Started
298,28,10,0,0.0,,2,1,2024,Not Started
299,29,10,0,0.0,,13,8,2022,Not Started
300,30,10,0,0.0,,13,2,2021,Not Started
301,1,11,0,0.0,,18,4,2020,Not Started
302,2,11,0,0.0,,12,9,2020,Not Started
303,3,11,0,0.0,,10,5,2024,Not Started
304,4,11,0,0.0,,7,10,2021,Not Started
305,5,11,0,0.0,,24,2,2021,Not Started
306,6,11,0,0.0,,4,1,2024,Not Started
307,7,11,0,0.0,,24,8,2022,Not Started
308,8,11,0,0.0,,26,9,2024,Not Started
309,9,11,0,0.0,,16,3,2020,Not Started
310,10,11,0,0.0,,10,7,2024,Not Started
311,11,11,0,0.0,,27,11,2022,Not Started
312,12,11,0,0.0,,8,12,2021,Not Started
313,13,11,0,0.0,,2,7,2020,Not Started
314,14,11,0,0.0,,14,4,2022,Not Started
315,15,11,0,0.0,,18,12,2021,Not Started
316,16,11,0,0.0,,27,5,2020,Not Started
317,17,11,0,0.0,,6,3,2020,Not Started
318,18,11,0,0.0,,24,4,2024,Not Started
319,19,11,0,0.0,,1,10,2022,Not Started
320,20,11,0,0.0,,2,11,2021,Not Started
321,21,11,0,0.0,,21,3,2021,Not Started
322,22,11,0,0.0,,28,7,2022,Not Started
323,23,11,0,0.0,,16,9,2023,Not Started
324,24,11,0,0.0,,12,7,2023,Not Started
325,25,11,0,0.0,,23,1,2023,Not Started
326,26,11,0,0.0,,23,11,2023,Not Started
327,27,11,0,0.0,,11,1,2021,Not Started
328,28,11,0,0.0,,2,1,2024,Not Started
329,29,11,0,0.0,,13,8,2022,Not Started
330,30,11,0,0.0,,13,2,2021,Not Started
331,1,12,0,0.0,,18,4,2020,Not Started
332,2,12,0,0.0,,12,9,2020,Not Started
333,3,12,0,0.0,,10,5,2024,Not Started
334,4,12,0,0.0,,7,10,2021,Not Started
335,5,12,0,0.0,,24,2,2021,Not Started
336,6,12,0,0.0,,4,1,2024,Not Started
337,7,12,0,0.0,,24,8,2022,Not Started
338,8,12,0,0.0,,26,9,2024,Not Started
339,9,12,0,0.0,,16,3,2020,Not Started
340,10,12,0,0.0,,10,7,2024,Not Started
341,11,12,0,0.0,,27,11,2022,Not Started
342,12,12,0,0.0,,8,12,2021,Not Started
343,13,12,0,0.0,,2,7,2020,Not Started
344,14,12,0,0.0,,14,4,2022,Not Started
345,15,12,0,0.0,,18,12,2021,Not Started
346,16,12,0,0.0,,27,5,2020,Not Started
347,17,12,0,0.0,,6,3,2020,Not Started
348,18,12,0,0.0,,24,4,2024,Not Started
349,19,12,0,0.0,,1,10,2022,Not Started
350,20,12,0,0.0,,2,11,2021,Not Started
351,21,12,0,0.0,,21,3,2021,Not Started
352,22,12,0,0.0,,28,7,2022,Not Started
353,23,12,0,0.0,,16,9,2023,Not Started
354,24,12,0,0.0,,12,7,2023,Not Started
355,25,12,0,0.0,,23,1,2023,Not Started
356,26,12,0,0.0,,23,11,2023,Not Started
357,27,12,0,0.0,,11,1,2021,Not Started
358,28,12,0,0.0,,2,1,2024,Not Started
359,29,12,0,0.0,,13,8,2022,Not Started
360,30,12,0,0.0,,13,2,2021,Not Started
361,1,13,0,0.0,,18,4,2020,Not Started
362,2,13,0,0.0,,12,9,2020,Not Started
363,3,13,0,0.0,,10,5,2024,Not Started
364,4,13,0,0.0,,7,10,2021,Not Started
365,5,13,0,0.0,,24,2,2021,Not Started
366,6,13,0,0.0,,4,1,2024,Not Started
367,7,13,0,0.0,,24,8,2022,Not Started
368,8,13,0,0.0,,26,9,2024,Not Started
369,9,13,0,0.0,,16,3,2020,Not Started
370,10,13,0,0.0,,10,7,2024,Not Started
371,11,13,0,0.0,,27,11,2022,Not Started
372,12,13,0,0.0,,8,12,2021,Not Started
373,13,13,0,0.0,,2,7,2020,Not Started
374,14,13,0,0.0,,14,4,2022,Not Started
375,15,13,0,0.0,,18,12,2021,Not Started
376,16,13,0,0.0,,27,5,2020,Not Started
377,17,13,0,0.0,,6,3,2020,Not Started
378,18,13,0,0.0,,24,4,2024,Not Started
379,19,13,0,0.0,,1,10,2022,Not Started
380,20,13,0,0.0,,2,11,2021,Not Started
381,21,13,0,0.0,,21,3,2021,Not Started
382,22,13,0,0.0,,28,7,2022,Not Started
383,23,13,0,0.0,,16,9,2023,Not Started
384,24,13,0,0.0,,12,7,2023,Not Started
385,25,13,0,0.0,,23,1,2023,Not Started
386,26,13,0,0.0,,23,11,2023,Not Started
387,27,13,0,0.0,,11,1,2021,Not Started
388,28,13,0,0.0,,2,1,2024,Not Started
389,29,13,0,0.0,,13,8,2022,Not Started
390,30,13,0,0.0,,13,2,2021,Not Started
391,1,14,0,0.0,,18,4,2020,Not Started
392,2,14,0,0.0,,12,9,2020,Not Started
393,3,14,0,0.0,,10,5,2024,Not Started
394,4,14,0,0.0,,7,10,2021,Not Started
395,5,14,0,0.0,,24,2,2021,Not Started
396,6,14,0,0.0,,4,1,2024,Not Started
397,7,14,0,0.0,,24,8,2022,Not Started
398,8,14,0,0.0,,26,9,2024,Not Started
399,9,14,0,0.0,,16,3,2020,Not Started
400,10,14,0,0.0,,10,7,2024,Not Started
401,11,14,0,0.0,,27,11,2022,Not Started
402,12,14,0,0.0,,8,12,2021,Not Started
403,13,14,0,0.0,,2,7,2020,Not Started
404,14,14,0,0.0,,14,4,2022,Not Started
405,15,14,0,0.0,,18,12,2021,Not Started
406,16,14,0,0.0,,27,5,2020,Not Started
407,17,14,0,0.0,,6,3,2020,Not Started
408,18,14,0,0.0,,24,4,2024,Not Started
409,19,14,0,0.0,,1,10,2022,Not Started
410,20,14,0,0.0,,2,11,2021,Not Started
411,21,14,0,0.0,,21,3,2021,Not Started
412,22,14,0,0.0,,28,7,2022,Not Started
413,23,14,0,0.0,,16,9,2023,Not Started
414,24,14,0,0.0,,12,7,2023,Not Started
415,25,14,0,0.0,,23,1,2023,Not Started
416,26,14,0,0.0,,23,11,2023,Not Started
417,27,14,0,0.0,,11,1,2021,Not Started
418,28,14,0,0.0,,2,1,2024,Not Started
419,29,14,0,0.0,,13,8,2022,Not Started
420,30,14,0,0.0,,13,2,2021,Not Started
421,1,15,0,0.0,,18,4,2020,Not Started
422,2,15,0,0.0,,12,9,2020,Not Started
423,3,15,0,0.0,,10,5,2024,Not Started
424,4,15,0,0.0,,7,10,2021,Not Started
425,5,15,0,0.0,,24,2,2021,Not Started
426,6,15,0,0.0,,4,1,2024,Not Started
427,7,15,0,0.0,,24,8,2022,Not Started
428,8,15,0,0.0,,26,9,2024,Not Started
429,9,15,0,0.0,,16,3,2020,Not Started
430,10,15,0,0.0,,10,7,2024,Not Started
431,11,15,0,0.0,,27,11,2022,Not Started
432,12,15,0,0.0,,8,12,2021,Not Started
433,13,15,0,0.0,,2,7,2020,Not Started
434,14,15,0,0.0,,14,4,2022,Not Started
435,15,15,0,0.0,,18,12,2021,Not Started
436,16,15,0,0.0,,27,5,2020,Not Started
437,17,15,0,0.0,,6,3,2020,Not Started
438,18,15,0,0.0,,24,4,2024,Not Started
439,19,15,0,0.0,,1,10,2022,Not Started
440,20,15,0,0.0,,2,11,2021,Not Started
441,21,15,0,0.0,,21,3,2021,Not Started
442,22,15,0,0.0,,28,7,2022,Not Started
443,23,15,0,0.0,,16,9,2023,Not Started
444,24,15,0,0.0,,12,7,2023,Not Started
445,25,15,0,0.0,,23,1,2023,Not Started
446,26,15,0,0.0,,23,11,2023,Not Started
447,27,15,0,0.0,,11,1,2021,Not Started
448,28,15,0,0.0,,2,1,2024,Not Started
449,29,15,0,0.0,,13,8,2022,Not Started
450,30,15,0,0.0,,13,2,2021,Not Started
451,1,16,0,0.0,,18,4,2020,Not Started
452,2,16,0,0.0,,12,9,2020,Not Started
453,3,16,0,0.0,,10,5,2024,Not Started
454,4,16,0,0.0,,7,10,2021,Not Started
455,5,16,0,0.0,,24,2,2021,Not Started
456,6,16,0,0.0,,4,1,2024,Not Started
457,7,16,0,0.0,,24,8,2022,Not Started
458,8,16,0,0.0,,26,9,2024,Not Started
459,9,16,0,0.0,,16,3,2020,Not Started
460,10,16,0,0.0,,10,7,2024,Not Started
461,11,16,0,0.0,,27,11,2022,Not Started
462,12,16,0,0.0,,8,12,2021,Not Started
463,13,16,0,0.0,,2,7,2020,Not Started
464,14,16,0,0.0,,14,4,2022,Not Started
465,15,16,0,0.0,,18,12,2021,Not Started
466,16,16,0,0.0,,27,5,2020,Not Started
467,17,16,0,0.0,,6,3,2020,Not Started
468,18,16,0,0.0,,24,4,2024,Not Started
469,19,16,0,0.0,,1,10,2022,Not Started
470,20,16,0,0.0,,2,11,2021,Not Started
471,21,16,0,0.0,,21,3,2021,Not Started
472,22,16,0,0.0,,28,7,2022,Not Started
473,23,16,0,0.0,,16,9,2023,Not Started
474,24,16,0,0.0,,12,7,2023,Not Started
475,25,16,0,0.0,,23,1,2023,Not Started
476,26,16,0,0.0,,23,11,2023,Not Started
477,27,16,0,0.0,,11,1,2021,Not Started
478,28,16,0,0.0,,2,1,2024,Not Started
479,29,16,0,0.0,,13,8,2022,Not Started
480,30,16,0,0.0,,13,2,2021,Not Started
481,1,17,0,0.0,,18,4,2020,Not Started
482,2,17,0,0.0,,12,9,2020,Not Started
483,3,17,0,0.0,,10,5,2024,Not Started
484,4,17,0,0.0,,7,10,2021,Not Started
485,5,17,0,0.0,,24,2,2021,Not Started
486,6,17,0,0.0,,4,1,2024,Not Started
487,7,17,0,0.0,,24,8,2022,Not Started
488,8,17,0,0.0,,26,9,2024,Not Started
489,9,17,0,0.0,,16,3,2020,Not Started
490,10,17,0,0.0,,10,7,2024,Not Started
491,11,17,0,0.0,,27,11,2022,Not Started
492,12,17,0,0.0,,8,12,2021,Not Started
493,13,17,0,0.0,,2,7,2020,Not Started
494,14,17,0,0.0,,14,4,2022,Not Started
495,15,17,0,0.0,,18,12,2021,Not Started
496,16,17,0,0.0,,27,5,2020,Not Started
497,17,17,0,0.0,,6,3,2020,Not Started
498,18,17,0,0.0,,24,4,2024,Not Started
499,19,17,0,0.0,,1,10,2022,Not Started
500,20,17,0,0.0,,2,11,2021,Not Started
501,21,17,0,0.0,,21,3,2021,Not Started
502,22,17,0,0.0,,28,7,2022,Not Started
503,23,17,0,0.0,,16,9,2023,Not Started
504,24,17,0,0.0,,12,7,2023,Not Started
505,25,17,0,0.0,,23,1,2023,Not Started
506,26,17,0,0.0,,23,11,2023,Not Started
507,27,17,0,0.0,,11,1,2021,Not Started
508,28,17,0,0.0,,2,1,2024,Not Started
509,29,17,0,0.0,,13,8,2022,Not Started
510,30,17,0,0.0,,13,2,2021,Not Started
511,1,18,0,0.0,,18,4,2020,Not Started
512,2,18,0,0.0,,12,9,2020,Not Started
513,3,18,0,0.0,,10,5,2024,Not Started
514,4,18,0,0.0,,7,10,2021,Not Started
515,5,18,0,0.0,,24,2,2021,Not Started
516,6,18,0,0.0,,4,1,2024,Not Started
517,7,18,0,0.0,,24,8,2022,Not Started
518,8,18,0,0.0,,26,9,2024,Not Started
519,9,18,0,0.0,,16,3,2020,Not Started
520,10,18,0,0.0,,10,7,2024,Not Started
521,11,18,0,0.0,,27,11,2022,Not Started
522,12,18,0,0.0,,8,12,2021,Not Started
523,13,18,0,0.0,,2,7,2020,Not Started
524,14,18,0,0.0,,14,4,2022,Not Started
525,15,18,0,0.0,,18,12,2021,Not Started
526,16,18,0,0.0,,27,5,2020,Not Started
527,17,18,0,0.0,,6,3,2020,Not Started
528,18,18,0,0.0,,24,4,2024,Not Started
529,19,18,0,0.0,,1,10,2022,Not Started
530,20,18,0,0.0,,2,11,2021,Not Started
531,21,18,0,0.0,,21,3,2021,Not Started
532,22,18,0,0.0,,28,7,2022,Not Started
533,23,18,0,0.0,,16,9,2023,Not Started
534,24,18,0,0.0,,12,7,2023,Not Started
535,25,18,0,0.0,,23,1,2023,Not Started
536,26,18,0,0.0,,23,11,2023,Not Started
537,27,18,0,0.0,,11,1,2021,Not Started
538,28,18,0,0.0,,2,1,2024,Not Started
539,29,18,0,0.0,,13,8,2022,Not Started
540,30,18,0,0.0,,13,2,2021,Not Started
541,1,19,0,0.0,,18,4,2020,Not Started
542,2,19,0,0.0,,12,9,2020,Not Started
543,3,19,0,0.0,,10,5,2024,Not Started
544,4,19,0,0.0,,7,10,2021,Not Started
545,5,19,0,0.0,,24,2,2021,Not Started
546,6,19,0,0.0,,4,1,2024,Not Started
547,7,19,0,0.0,,24,8,2022,Not Started
548,8,19,0,0.0,,26,9,2024,Not Started
549,9,19,0,0.0,,16,3,2020,Not Started
550,10,19,0,0.0,,10,7,2024,Not Started
551,11,19,0,0.0,,27,11,2022,Not Started
552,12,19,0,0.0,,8,12,2021,Not Started
553,13,19,0,0.0,,2,7,2020,Not Started
554,14,19,0,0.0,,14,4,2022,Not Started
555,15,19,0,0.0,,18,12,2021,Not Started
556,16,19,0,0.0,,27,5,2020,Not Started
